        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603261200,   0.979,   1.338,   0.000,   0.359,   1.338,   0.000,   1.338,   0.100,   1.438
202603261206,   0.919,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261212,   0.861,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261218,   0.805,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261224,   0.751,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261230,   0.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261236,   0.650,   1.039,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261242,   0.604,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261248,   0.561,   0.961,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261254,   0.522,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261300,   0.486,   0.898,   0.000,   0.412,   0.898,   0.000,   0.898,   0.000,   0.898
202603261306,   0.454,   0.888,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261312,   0.426,   0.869,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261318,   0.403,   0.819,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261324,   0.385,   0.839,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261330,   0.372,   0.829,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261336,   0.364,   0.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261342,   0.362,   0.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261348,   0.365,   0.980,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261354,   0.374,   1.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261400,   0.389,   1.049,   0.000,   0.660,   1.049,  -0.100,   0.949,   0.000,   1.049
202603261406,   0.411,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261412,   0.438,   1.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261418,   0.472,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261424,   0.512,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261430,   0.558,   1.371,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261436,   0.611,   1.439,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261442,   0.669,   1.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261448,   0.733,   1.590,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261454,   0.802,   1.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261500,   0.877,   1.781,   0.000,   0.904,   1.781,  -0.100,   1.681,   0.000,   1.781
202603261506,   0.956,   1.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261512,   1.040,   1.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261518,   1.128,   2.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261524,   1.219,   2.109,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261530,   1.314,   2.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261536,   1.411,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261542,   1.510,   2.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261548,   1.612,   2.528,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261554,   1.715,   2.597,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261600,   1.819,   2.709,   0.000,   0.890,   2.709,  -0.100,   2.609,   0.000,   2.709
202603261606,   1.924,   2.787,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261612,   2.029,   2.869,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261618,   2.134,   2.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261624,   2.239,   3.050,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
